@RELATION train_agent_It2.arff
   @ATTRIBUTE food_pos_x NUMERIC
   @ATTRIBUTE food_pos_y NUMERIC
   @ATTRIBUTE snake_pos_x NUMERIC
   @ATTRIBUTE snake_pos_y NUMERIC
   @ATTRIBUTE body_length NUMERIC
   @ATTRIBUTE move_RIGHT {True, False}
   @ATTRIBUTE move_LEFT {True, False}
   @ATTRIBUTE move_UP {True, False}
   @ATTRIBUTE move_DOWN {True, False}
   @ATTRIBUTE current_score NUMERIC
   @ATTRIBUTE current_direction {RIGHT, LEFT, UP, DOWN}
   @ATTRIBUTE distance_to_crash NUMERIC
   @ATTRIBUTE relative_head_apple_x {RIGHT, LEFT, SAME}
   @ATTRIBUTE relative_head_apple_y {UP, DOWN, SAME}
   @ATTRIBUTE next_score NUMERIC
   @ATTRIBUTE expected_direction {0, 1, 2, 3}

@data

80, 310, 100, 60, 3, False, True, True, True, -1, DOWN, 410, LEFT, DOWN, -2, 3
80, 310, 90, 60, 3, True, True, False, True, -2, LEFT, 90, LEFT, DOWN, -3, 3
80, 310, 80, 60, 3, True, True, False, True, -3, LEFT, 80, SAME, DOWN, -4, 1
80, 310, 80, 70, 3, False, True, True, True, -4, DOWN, 400, SAME, DOWN, -5, 1
80, 310, 80, 80, 3, False, True, True, True, -5, DOWN, 390, SAME, DOWN, -6, 1
80, 310, 80, 90, 3, False, True, True, True, -6, DOWN, 380, SAME, DOWN, -7, 1
80, 310, 80, 100, 3, False, True, True, True, -7, DOWN, 370, SAME, DOWN, -8, 1
80, 310, 80, 110, 3, False, True, True, True, -8, DOWN, 360, SAME, DOWN, -9, 1
80, 310, 80, 120, 3, False, True, True, True, -9, DOWN, 350, SAME, DOWN, -10, 1
80, 310, 80, 130, 3, False, True, True, True, -10, DOWN, 340, SAME, DOWN, -11, 1
80, 310, 80, 140, 3, False, True, True, True, -11, DOWN, 330, SAME, DOWN, -12, 1
80, 310, 80, 150, 3, False, True, True, True, -12, DOWN, 320, SAME, DOWN, -13, 1
80, 310, 80, 160, 3, False, True, True, True, -13, DOWN, 310, SAME, DOWN, -14, 1
80, 310, 80, 170, 3, False, True, True, True, -14, DOWN, 300, SAME, DOWN, -15, 1
80, 310, 80, 180, 3, False, True, True, True, -15, DOWN, 290, SAME, DOWN, -16, 1
80, 310, 80, 190, 3, False, True, True, True, -16, DOWN, 280, SAME, DOWN, -17, 1
80, 310, 80, 200, 3, False, True, True, True, -17, DOWN, 270, SAME, DOWN, -18, 1
80, 310, 80, 210, 3, False, True, True, True, -18, DOWN, 260, SAME, DOWN, -19, 1
80, 310, 80, 220, 3, False, True, True, True, -19, DOWN, 250, SAME, DOWN, -20, 1
80, 310, 80, 230, 3, False, True, True, True, -20, DOWN, 240, SAME, DOWN, -21, 1
80, 310, 80, 240, 3, False, True, True, True, -21, DOWN, 230, SAME, DOWN, -22, 1
80, 310, 80, 250, 3, False, True, True, True, -22, DOWN, 220, SAME, DOWN, -23, 1
80, 310, 80, 260, 3, False, True, True, True, -23, DOWN, 210, SAME, DOWN, -24, 1
80, 310, 80, 270, 3, False, True, True, True, -24, DOWN, 200, SAME, DOWN, -25, 1
80, 310, 80, 280, 3, False, True, True, True, -25, DOWN, 190, SAME, DOWN, -26, 1
80, 310, 80, 290, 3, False, True, True, True, -26, DOWN, 180, SAME, DOWN, -27, 1
80, 310, 80, 300, 3, False, True, True, True, -27, DOWN, 170, SAME, DOWN, 73, 1
250, 430, 80, 310, 4, False, True, True, True, 73, DOWN, 160, RIGHT, DOWN, 72, 2
250, 430, 90, 310, 4, True, True, True, False, 72, RIGHT, 380, RIGHT, DOWN, 71, 2
250, 430, 100, 310, 4, True, True, True, False, 71, RIGHT, 370, RIGHT, DOWN, 70, 2
250, 430, 110, 310, 4, True, True, True, False, 70, RIGHT, 360, RIGHT, DOWN, 69, 2
250, 430, 120, 310, 4, True, True, True, False, 69, RIGHT, 350, RIGHT, DOWN, 68, 2
250, 430, 130, 310, 4, True, True, True, False, 68, RIGHT, 340, RIGHT, DOWN, 67, 2
250, 430, 140, 310, 4, True, True, True, False, 67, RIGHT, 330, RIGHT, DOWN, 66, 2
250, 430, 150, 310, 4, True, True, True, False, 66, RIGHT, 320, RIGHT, DOWN, 65, 2
250, 430, 160, 310, 4, True, True, True, False, 65, RIGHT, 310, RIGHT, DOWN, 64, 2
250, 430, 170, 310, 4, True, True, True, False, 64, RIGHT, 300, RIGHT, DOWN, 63, 2
