@RELATION training_test_It3.arff

   @ATTRIBUTE food_pos_x NUMERIC
   @ATTRIBUTE food_pos_y NUMERIC
   @ATTRIBUTE snake_pos_x NUMERIC
   @ATTRIBUTE snake_pos_y NUMERIC
   @ATTRIBUTE body_length NUMERIC
   @ATTRIBUTE move_RIGHT {True, False}
   @ATTRIBUTE move_LEFT {True, False}
   @ATTRIBUTE move_UP {True, False}
   @ATTRIBUTE move_DOWN {True, False}
   @ATTRIBUTE current_score NUMERIC
   @ATTRIBUTE current_direction {RIGHT, LEFT, UP, DOWN}
   @ATTRIBUTE distance_to_crash NUMERIC
   @ATTRIBUTE relative_head_apple_x {RIGHT, LEFT, SAME}
   @ATTRIBUTE relative_head_apple_y {UP, DOWN, SAME}
   @ATTRIBUTE next_score NUMERIC
   @ATTRIBUTE expected_direction {0, 1, 2, 3}

@data
240, 310, 110, 50, 3, True, True, True, False, -1, RIGHT, 360, RIGHT, DOWN, -2, 2
240, 310, 120, 50, 3, True, True, True, False, -2, RIGHT, 350, RIGHT, DOWN, -3, 2
240, 310, 130, 50, 3, True, True, True, False, -3, RIGHT, 340, RIGHT, DOWN, -4, 2
240, 310, 140, 50, 3, True, True, True, False, -4, RIGHT, 330, RIGHT, DOWN, -5, 2
240, 310, 150, 50, 3, True, True, True, False, -5, RIGHT, 320, RIGHT, DOWN, -6, 2
240, 310, 160, 50, 3, True, True, True, False, -6, RIGHT, 310, RIGHT, DOWN, -7, 2
240, 310, 170, 50, 3, True, True, True, False, -7, RIGHT, 300, RIGHT, DOWN, -8, 2
240, 310, 180, 50, 3, True, True, True, False, -8, RIGHT, 290, RIGHT, DOWN, -9, 2
240, 310, 190, 50, 3, True, True, True, False, -9, RIGHT, 280, RIGHT, DOWN, -10, 2
240, 310, 200, 50, 3, True, True, True, False, -10, RIGHT, 270, RIGHT, DOWN, -11, 2
240, 310, 210, 50, 3, True, True, True, False, -11, RIGHT, 260, RIGHT, DOWN, -12, 2
240, 310, 220, 50, 3, True, True, True, False, -12, RIGHT, 250, RIGHT, DOWN, -13, 2
240, 310, 230, 50, 3, True, True, True, False, -13, RIGHT, 240, RIGHT, DOWN, -14, 2
240, 310, 240, 50, 3, True, True, True, False, -14, RIGHT, 230, SAME, DOWN, -15, 1
240, 310, 240, 60, 3, False, True, True, True, -15, DOWN, 410, SAME, DOWN, -16, 1
240, 310, 240, 70, 3, False, True, True, True, -16, DOWN, 400, SAME, DOWN, -17, 1
240, 310, 240, 80, 3, False, True, True, True, -17, DOWN, 390, SAME, DOWN, -18, 1
240, 310, 240, 90, 3, False, True, True, True, -18, DOWN, 380, SAME, DOWN, -19, 1
240, 310, 240, 100, 3, False, True, True, True, -19, DOWN, 370, SAME, DOWN, -20, 1
240, 310, 240, 110, 3, False, True, True, True, -20, DOWN, 360, SAME, DOWN, -21, 1
240, 310, 240, 120, 3, False, True, True, True, -21, DOWN, 350, SAME, DOWN, -22, 1
240, 310, 240, 130, 3, False, True, True, True, -22, DOWN, 340, SAME, DOWN, -23, 1
240, 310, 240, 140, 3, False, True, True, True, -23, DOWN, 330, SAME, DOWN, -24, 1
240, 310, 240, 150, 3, False, True, True, True, -24, DOWN, 320, SAME, DOWN, -25, 1
240, 310, 240, 160, 3, False, True, True, True, -25, DOWN, 310, SAME, DOWN, -26, 1
240, 310, 240, 170, 3, False, True, True, True, -26, DOWN, 300, SAME, DOWN, -27, 1
240, 310, 240, 180, 3, False, True, True, True, -27, DOWN, 290, SAME, DOWN, -28, 1
240, 310, 240, 190, 3, False, True, True, True, -28, DOWN, 280, SAME, DOWN, -29, 1
240, 310, 240, 200, 3, False, True, True, True, -29, DOWN, 270, SAME, DOWN, -30, 1
240, 310, 240, 210, 3, False, True, True, True, -30, DOWN, 260, SAME, DOWN, -31, 1
240, 310, 240, 220, 3, False, True, True, True, -31, DOWN, 250, SAME, DOWN, -32, 1
240, 310, 240, 230, 3, False, True, True, True, -32, DOWN, 240, SAME, DOWN, -33, 1
240, 310, 240, 240, 3, False, True, True, True, -33, DOWN, 230, SAME, DOWN, -34, 1
